iter	Passed	Remaining
412	3171	4508
413	3178	4499
414	3185	4490
415	3192	4481
416	3198	4472
417	3206	4463
418	3212	4454
419	3219	4446
420	3226	4437
421	3233	4428
422	3239	4419
423	3247	4411
424	3254	4402
425	3261	4394
426	3268	4386
427	3276	4378
428	3282	4369
429	3289	4360
430	3296	4352
431	3303	4343
432	3310	4335
433	3318	4327
434	3326	4320
435	3333	4311
436	3341	4304
437	3348	4296
438	3356	4288
439	3366	4284
440	3376	4280
441	3387	4276
442	3399	4274
443	3409	4269
444	3419	4264
445	3429	4259
446	3439	4254
447	3450	4251
448	3459	4245
449	3469	4239
450	3480	4236
451	3490	4231
452	3500	4226
453	3510	4221
454	3520	4216
455	3533	4215
456	3545	4212
457	3555	4207
458	3565	4202
459	3573	4195
460	3582	4188
461	3591	4182
462	3600	4176
463	3612	4172
464	3622	4168
465	3634	4164
466	3644	4160
467	3655	4155
468	3664	4148
469	3675	4145
470	3685	4139
471	3694	4132
472	3703	4126
473	3712	4119
474	3721	4113
475	3730	4106
476	3740	4100
477	3749	4094
478	3761	4091
479	3771	4085
480	3783	4082
481	3794	4077
482	3805	4073
483	3819	4072
484	3831	4068
485	3843	4065
486	3854	4060
487	3865	4055
488	3874	4048
489	3885	4044
490	3894	4037
491	3905	4032
492	3915	4027
493	3928	4023
494	3938	4017
495	3946	4010
496	3956	4004
497	3966	3998
498	3975	3991
499	3984	3984
500	3993	3977
501	4002	3970
502	4011	3963
503	4019	3955
504	4029	3949
505	4037	3941
506	4062	3950
507	4096	3967
508	4105	3960
509	4124	3963
510	4134	3956
511	4144	3950
512	4153	3942
513	4162	3935
514	4171	3928
515	4179	3920
516	4187	3912
517	4196	3904
518	4204	3896
519	4212	3888
520	4221	3881
521	4229	3872
522	4237	3865
523	4245	3857
524	4255	3849
525	4263	3842
526	4271	3834
527	4282	3828
528	4292	3821
529	4299	3812
530	4307	3804
531	4315	3796
532	4324	3788
533	4331	3779
534	4338	3770
535	4348	3764
536	4357	3756
537	4365	3749
538	4374	3741
539	4381	3732
540	4388	3723
541	4394	3713
542	4401	3704
543	4409	3696
544	4417	3688
545	4426	3680
546	4434	3672
547	4442	3664
548	4450	3656
549	4459	3648
550	4468	3641
551	4476	3633
552	4486	3626
553	4494	3618
554	4500	3608
555	4508	3600
556	4517	3592
557	4525	3584
558	4532	3575
559	4540	3567
560	4548	3559
561	4556	3550
562	4564	3542
563	4571	3534
564	4579	3526
565	4588	3518
566	4597	3510
567	4607	3504
568	4619	3499
569	4631	3493
570	4641	3486
571	4649	3479
572	4659	3472
573	4668	3464
574	4676	3456
575	4685	3449
576	4693	3440
577	4702	3432
578	4711	3425
579	4721	3418
580	4732	3413
581	4742	3405
582	4750	3398
583	4759	3390
584	4767	3382
585	4776	3374
586	4785	3366
587	4794	3359
588	4803	3352
589	4813	3345
590	4823	3337
591	4831	3330
592	4840	3322
593	4849	3314
594	4858	3307
595	4867	3299
596	4875	3291
597	4884	3283
598	4893	3275
599	4901	3267
600	4911	3260
601	4921	3253
602	4929	3245
603	4938	3237
604	4947	3229
605	4955	3221
606	4963	3213
607	4972	3205
608	4981	3198
609	4990	3190
610	4998	3182
611	5007	3174
612	5015	3166
613	5024	3158
614	5032	3150
615	5041	3142
616	5050	3135
617	5059	3127
618	5071	3121
619	5082	3114
620	5093	3108
621	5104	3102
622	5114	3094
623	5128	3090
624	5138	3082
625	5147	3075
626	5156	3067
627	5165	3059
628	5173	3051
629	5181	3042
630	5189	3034
631	5196	3025
632	5203	3016
633	5210	3007
634	5217	2999
635	5225	2990
636	5235	2983
637	5244	2975
638	5253	2967
639	5262	2960
640	5272	2952
641	5282	2945
642	5292	2938
643	5300	2930
644	5309	2922
645	5317	2914
646	5326	2906
647	5336	2898
648	5345	2891
649	5354	2883
650	5363	2875
651	5371	2866
652	5382	2860
653	5390	2852
654	5399	2843
655	5407	2835
656	5415	2827
657	5424	2819
658	5432	2811
659	5441	2803
660	5449	2794
661	5457	2786
662	5465	2777
663	5472	2768
664	5479	2760
665	5485	2751
666	5492	2742
667	5500	2733
668	5508	2725
669	5518	2718
670	5525	2709
671	5533	2700
672	5540	2692
673	5547	2683
674	5555	2675
675	5562	2666
676	5570	2657
677	5577	2648
678	5584	2640
679	5591	2631
680	5598	2622
681	5605	2613
682	5612	2604
683	5618	2595
684	5625	2586
685	5631	2577
686	5638	2568
687	5645	2560
688	5652	2551
689	5659	2542
690	5666	2533
691	5672	2524
692	5679	2516
693	5686	2507
694	5693	2498
695	5699	2489
696	5705	2480
697	5712	2471
698	5719	2462
699	5726	2454
700	5733	2445
701	5739	2436
702	5745	2427
703	5752	2418
704	5759	2410
705	5766	2401
706	5773	2392
707	5781	2384
708	5787	2375
709	5794	2366
710	5801	2358
711	5809	2349
712	5815	2340
713	5822	2332
714	5828	2323
715	5835	2314
716	5842	2306
717	5849	2297
718	5856	2288
719	5863	2280
720	5869	2271
721	5878	2263
722	5886	2255
723	5892	2246
724	5900	2237
725	5908	2229
726	5915	2221
727	5922	2212
728	5929	2204
729	5935	2195
730	5942	2186
731	5949	2178
732	5956	2169
733	5963	2161
734	5970	2152
735	5976	2143
736	5982	2134
737	5989	2126
738	5996	2117
739	6003	2109
740	6009	2100
741	6016	2091
742	6023	2083
743	6029	2074
744	6036	2066
745	6043	2057
746	6049	2048
747	6056	2040
748	6063	2031
749	6070	2023
750	6077	2014
751	6083	2006
752	6089	1997
753	6096	1988
754	6102	1980
755	6109	1971
756	6116	1963
757	6122	1954
758	6129	1946
759	6135	1937
760	6142	1929
761	6148	1920
762	6154	1911
763	6161	1903
764	6168	1894
765	6174	1886
766	6181	1877
767	6187	1869
768	6193	1860
769	6200	1852
770	6206	1843
771	6212	1834
772	6219	1826
773	6226	1818
774	6233	1809
775	6240	1801
776	6247	1792
777	6253	1784
778	6259	1775
779	6266	1767
780	6274	1759
781	6280	1750
782	6286	1742
783	6293	1734
784	6300	1725
785	6309	1717
786	6316	1709
787	6322	1701
788	6329	1692
789	6336	1684
790	6342	1675
791	6349	1667
792	6356	1659
793	6364	1651
794	6373	1643
795	6381	1635
796	6389	1627
797	6397	1619
798	6405	1611
799	6413	1603
800	6422	1595
801	6429	1587
802	6438	1579
803	6445	1571
804	6453	1563
805	6460	1555
806	6468	1546
807	6475	1538
808	6482	1530
809	6490	1522
810	6498	1514
811	6505	1506
812	6513	1498
813	6521	1490
814	6528	1481
815	6535	1473
816	6543	1465
817	6550	1457
818	6556	1449
819	6563	1440
820	6571	1432
821	6579	1424
822	6586	1416
823	6594	1408
824	6601	1400
825	6608	1392
826	6615	1383
827	6622	1375
828	6628	1367
829	6636	1359
830	6644	1351
831	6651	1343
832	6659	1335
833	6666	1326
834	6673	1318
835	6679	1310
836	6686	1302
837	6692	1293
838	6700	1285
839	6706	1277
840	6713	1269
841	6719	1260
842	6725	1252
843	6732	1244
844	6738	1236
845	6744	1227
846	6750	1219
847	6756	1211
848	6763	1202
849	6769	1194
850	6776	1186
851	6782	1178
852	6789	1169
853	6795	1161
854	6801	1153
855	6808	1145
856	6814	1137
857	6820	1128
858	6826	1120
859	6832	1112
860	6838	1104
861	6844	1095
862	6850	1087
863	6856	1079
864	6862	1070
865	6868	1062
866	6874	1054
867	6881	1046
868	6887	1038
869	6894	1030
870	6901	1022
871	6907	1013
872	6913	1005
873	6919	997
874	6926	989
875	6931	981
876	6937	973
877	6944	964
878	6950	956
879	6956	948
880	6962	940
881	6968	932
882	6974	924
883	6980	916
884	6987	908
885	6994	899
886	7000	891
887	7006	883
888	7012	875
889	7018	867
890	7024	859
891	7030	851
892	7036	843
893	7043	835
894	7049	826
895	7055	818
896	7061	810
897	7076	803
898	7084	795
899	7090	787
900	7096	779
901	7102	771
902	7109	763
903	7115	755
904	7122	747
905	7129	739
906	7135	731
907	7141	723
908	7147	715
909	7153	707
910	7159	699
911	7165	691
912	7171	683
913	7178	675
914	7184	667
915	7190	659
916	7196	651
917	7202	643
918	7208	635
919	7215	627
920	7222	619
921	7228	611
922	7234	603
923	7241	595
924	7248	587
925	7255	579
926	7262	571
927	7268	563
928	7275	556
929	7281	548
930	7288	540
931	7294	532
932	7300	524
933	7306	516
934	7312	508
935	7319	500
936	7326	492
937	7332	484
938	7339	476
939	7345	468
940	7351	460
941	7357	453
942	7364	445
943	7371	437
944	7377	429
945	7383	421
946	7389	413
947	7396	405
948	7402	397
949	7408	389
950	7414	382
951	7421	374
952	7428	366
953	7434	358
954	7441	350
955	7446	342
956	7453	334
957	7459	327
958	7466	319
959	7472	311
960	7479	303
961	7485	295
962	7492	287
963	7498	280
964	7504	272
965	7510	264
966	7517	256
967	7523	248
968	7531	240
969	7537	233
970	7543	225
971	7549	217
972	7555	209
973	7561	201
974	7568	194
975	7575	186
976	7581	178
977	7588	170
978	7594	162
979	7600	155
980	7606	147
981	7613	139
982	7619	131
983	7625	123
984	7632	116
985	7639	108
986	7644	100
987	7650	92
988	7657	85
989	7664	77
990	7670	69
991	7676	61
992	7682	54
993	7689	46
994	7695	38
995	7701	30
996	7707	23
997	7714	15
998	7720	7
999	7727	0
